tweet,store
"RT @shinomi_ran2: コロナで暇なみんな〜〜〜ッッ！！！
秋田米の新種に名前つけて採用されると100万円とコメ30kg貰えるよ！！
ぶっちゃけ応募者数が少なすぎて県庁職員(父)がしょんぼりしてるので是非応募・拡散してね！！！
https://t.co/lboGNF…",toritsu
やば、明日こそ確定申告やる。,toritsu
"RT @Mentalist_DaiGo: みなさん、みんなが苦しむこの状況下でも、収入は一切減らない国会議員の皆さんが【範を示してくれる】そうですよ。
これは期待しかありませんね。
https://t.co/IditaeP9FG",toritsu
"国会中継をオンライン配信してニコ生みたいにコメントできたら興味持てそうだし、興味持たせるための政治活動が意識されそう！

まぁ、今の状況でやっちゃうとやじの質が低レベル過ぎて話にならないんだろうなぁ・・・
コメント参加権を得るため… https://t.co/dazU8Mqj1O",toritsu
RT @hashimoto_lo: 僕がやった財政再建策の半分でもやっとったらええがな。給料も退職金も満額受け取って、今からでも返せ！特措法なんてしょうもない法律作りやがって国会議員の給料も返せ！国会議員はびた一文給料下がらんやろ。俺ら民間は大変やねんぞ。それであんたらの給料払…,toritsu
"ティファが可愛すぎてやばいねこれ。触りたくなる肌質（汗
すごいクオリティだなぁ。7年かけただけあるわー

今日はだめかと思いきや、ほぼギリギリ転生ラインかな。
もっとポートフォリオのバリエーション広げないとな。
強ボッタ―たちのように、1口座で100とか行ってみたいわ―",toritsu
@boocham_bot pythonのwebsocketならpong勝手に返すようになってますね！,toritsu
"余裕をもって確定申告してクレカ納税した。
経費ちゃんと使ってなかったからめちゃくちゃ損した気分 https://t.co/Is91dTiPAf",toritsu
"アーロンチェアが体に合わなくて在宅がキツい、、、
裏ももの圧迫のせいでふくらはぎまで痛くなってきた、、、
エコノミー症候群？？?

高いから手放せもせず、、、",toritsu
K点超え https://t.co/NqvmN63imZ,toritsu
"@yutas001 デスクが高いのかなぁー？
まぁ、どんな椅子でも相性次第かな？
じゃなきゃこんなに人気でないだろうしw",toritsu
"確定申告終わった(あと出すだけ)のに今日は各BOTが調子悪いなぁ・・・
ご褒美は！？のっちは頑張ったよ！？

対mexはまぁなんとかなってるけど、対bitflyerがコテンパンだなぁ・・・・",toritsu
食材を求めさまよう(潜りスポット開拓中。裏は海。) https://t.co/SvuuorskEg,toritsu
"これはほんの始まりにすぎないと思う。僕も旅行事業も廃業してないだけで状況は同じ。

消費がガツンと落ち込んで、今はまだ影響が少ない業界やサラリーマンにも今後数カ月で波が押し寄せるだろう。

絶望する時間も大事。
でももっと大切なの… https://t.co/R1e65x4kEq",toritsu
@an0323 すごい!神津島はちゃんと潜りのルールが整備されてるんですね!,toritsu
島あるある。海の男が集まって飲むと、必ず釣具の品評会になる。 https://t.co/DlA4feQPI3,toritsu
@kunpei1995 @warpfin @an0323 この大きさだと味はどうなの?,toritsu
@kunpei1995 @warpfin @an0323 デッカー!!すごいわ。。,toritsu
"@r_yuriii 楽しそうですね!

エンジニアスキルはないのですが、ウェブマーケはそこそこできます。

日英翻訳や英語ベースのマーケは得意なので、その辺りだと結構活躍できると思います!

あと素潜りが得意です。",toritsu
@murong712 ん、ムロさんも5月に一緒に遠泳しますからね??,toritsu
"このツイート見てたら、ちょうどiPodから星野源の初期の名曲、「キッチン」が流れてきた。

そしてこの曲が入ってるアルバム「ばかのうた」は人間くさくて切ないけど優しくなれる名盤です。

気持ちが暗くなって、心がささくれがちな今こそ… https://t.co/l6dzA79R8y",toritsu
"コロナ疎開で田舎に行く人がいるらしいですが、全くオススメしません。

東京から来たというだけで煙たがられ、距離を置かれ、噂が事実のように広まっていきます。

その地域でコロナ感染者が出ようものならあなたのせいだと言い出す人もいるで… https://t.co/8tv6eAQtbA",toritsu
"この1年、東京にいなくても仕事ができるベースを作ってきたので、アフターコロナの世界の鍵がオンラインならかなり先行できている。

島に引っ越してから、働き方は変わらないどころか、ストレスが減りパフォーマンスはあがった

唯一の誤算は… https://t.co/nBIj9H2P48",toritsu
"往復2時間も泳いで魚獲りに行ったのに、まさかのボウズ?

悔しい。悔しすぎる。

そこら辺で潜っても2,3匹は余裕で獲れるのに。。

まあこうしてスポット開拓と腕を磨いていくのだが。。

ふぁー悔しい疲れた。

敗北祝いにがっつり… https://t.co/FT8MQnQCnR",toritsu
"おはようございます。

今日の海はこちら。手前には美しい岩苔、奥にははるか彼方まで連なる山。よき。

ちなみに右奥の突き出た場所は激アツ潜りスポットだと思われる。

徒歩で行けないので泳ぐしか。
約2キロ、泳いでおそらく1時間ちょ… https://t.co/07bgbbLFS9",toritsu
"潜って獲った魚を業火の中にブチ込む!

強火で一気に焼くと伊勢海老並みのプリプリ感。。

ブダイ(沖縄ではイラブチャー?)を完全に舐め切ってました。。

魚は場所と季節、そして個体によって全然味が違う??? https://t.co/tlBB7eDyCW",toritsu
@kunpei1995 やばいね!これ突いたの?,toritsu
@shunn1590 最高ｗ,toritsu
"人間が静かになったおかげで、地球が束の間呼吸できているようです。

本当に環境を変えようと思ったら今くらい生活を制限しなきゃいけないのか。

家から出れないくらいでストレスだDVだやってる人間には土台無理な話だわな。。

https://t.co/THj4977TPU",toritsu
@pirayuuu 興味ありますｗ,toritsu
@survivalfitness 単管パイプ!!,toritsu
@VC_II_1009 @y_toku @moose_fukui ほしい!,toritsu
"4/17金の27時（土AM3時）にFM横浜の番組「カジキング」さんに出演いたし鱒。今回のために作ったカジキの雑学ソングを歌っており鱒ので是非ともチェックしてくださいませ！
昨年末に釣りでご一緒したデジタル魚拓の葛西さん、シーフロー… https://t.co/teaWumJsLI",toritsu
@dlduo336 カナガシラ〜！,toritsu
@tear__pad キンメです笑,toritsu
"https://t.co/TW4IiDfDx3

ぼうずコンニャクさん見ると揚げてなんぼみたいですね。たしかに揚げ映えする肉質でした。",toritsu
シロゲンゲ、はじめましてだったのでメモ。身も骨も柔らかくて簡単にぶつ切りにできる。皮は手で剥げる。魚の刺身なのに食感は刺身こんにゃく。肝はかじってみたけど苦くて食べられない。汁にするとよりプルップルでコラーゲン満載。ただ個人的には… https://t.co/vRvqd2nb0z,toritsu
@Gkawasumi 間違いないですよね。。！！,toritsu
@masak0830 です！！,toritsu
イサキ先輩、脂ぱねぇす https://t.co/YhWo95PnKJ,toritsu
最高かよ。 https://t.co/DdvyBxI24M,toritsu
@akadonko2 とりあえず、あれだけリクエストあってマダイが2枚なのは意外でしたね。,toritsu
昨日いただいて夜捌いたイサキさんはお腹ギトギトちゃんでした。寝かせてるので今夜が楽しみです。 https://t.co/2R7Erc7n92,toritsu
@shukurimuobake ですね！笑,toritsu
@ninjin_king 東北の味です。コロナが落ち着いたら是非食べに行ってみてくださいませ^ ^,toritsu
@__Fisherman___ ありが鯛です！笑,toritsu
@megumi0826 太宰治が愛したカニとして、さかな検定にもよく出題され鱒。美味しいですよね！,toritsu
@shukurimuobake ゲンゲ、ゲンゲ、カナガシラ！,toritsu
@Gkawasumi ありがたい限りです^ ^最近絵ばかり描いてて捌きをサボっていたので、こちらも頑張り鱒^ ^,toritsu
@panchinaoran 家にこもって、これでお酒飲んでりゃそりゃ数値もねぇ。。笑。改めてご馳走様です！,toritsu
RT @taishujp: さかな芸人ハットリ「オススメは“ヤリマンボウ”です」麻美ゆまのあなたに会いたい！（前編） : https://t.co/JOYvFU25PH #日刊大衆 #麻美ゆま,toritsu
"タイトルが笑

https://t.co/Pf6yZSGKHe",toritsu
RT @ambafrancejp_jp: 本日の #うちでデセール は #ブルターニュ の #プラム入り菓子✨とっても美味しいのに、自宅?で出来ちゃうんですよ?アレンジも簡単です。皆さんの写真お待ちしています? #うちでフレンチ #うちでアペロ #うちでデセール https:/…,toritsu
RT @noshiumesatoya: 時間かかったけど、まずは「乃し梅・梅しぐれセット」のみのラインナップにて「佐藤屋ECサイト」がスタート！送料込2500円、税込みで2700円！レターパックでご自宅に山形銘菓をお届けします～　https://t.co/XsfM9P0Cqc…,toritsu
"RT @nom1207: 新しいホットサンドメーカー買った。（一枚の食パンで挟めるやつ！）

表と裏で色が違う。そしてめちゃ旨い。

ホットサンドメーカーは妻がどんどん買うのでコレで4個目w https://t.co/wqnCAKCUlQ",toritsu
@sakutahiromi さすが表現者!!!うれしいうれしい｡･ﾟ･(ﾉ∀`)･ﾟ･｡,toritsu
てりてり。 https://t.co/1OLhO2PZ7M,toritsu
"夕飯:親子丼（鶏もも、椎茸、玉葱、三つ葉、薄口のあまり甘くないタイプ）、あおさと筍の穂先のお吸い物、その他。
作りおきと関係なく食べたい時に食べたいものを。",toritsu
朝はホットサンド（熟成ゴーダ、ロースハム、大葉）、お昼は目黒五十番の肉まんともずくのスープ等々。おやつにダブルチョコマフィンとチャイマフィンを作ったけれど食べたのはホットケーキ。その時食べたいものを食べるんだい。 https://t.co/g90EIKKKQr,toritsu
"RT @80Cjp: 【お届け中華】北千住アイスランドラム肉の店「OZ 羊肉工房」のオンラインショップで、神田「味坊」の羊肉焼餃子、羊肉水餃子各種を販売中。
▼オンラインショップ 
https://t.co/zKVODpaVcZ",toritsu
"RT @umeshu_matsuri: 自粛により全国梅酒まつりが中止に…200種類1万本の梅酒の行先がありません。
蔵元様が一生懸命造った梅酒をどうにかファンの皆様へ届けたい‼
本日より特設販売ページを立上げ福袋をご用意しました。どうかご支援の程お願い致します
#拡散希望 #…",toritsu
夕飯:トマト黒酢の肉団子、鶏そぼろと蕪とセロリの黒胡椒炒め、ブロッコリーと卵白の辛子マヨネーズ炒め、蕪とピーマンのゆかり柚子胡椒マリネ（胡瓜、セロリ、かぼす酢、亜麻仁油）、人参とアスパラ皮のしりしり（ツナ）、その他。 https://t.co/CEGchDpDXv,toritsu
"朝はシリアル。お昼は蕪の葉とサーモンマリネを使ってレモンクリームパスタ。
 そろそろおやつを足そうかな。",toritsu
@B83618519 本当に！十分美味しいです！楽しそうでついつい欲が出てしまいました！また伺います！,toritsu
@kogomir 今時期はやってませんが、普段はやってしまいます。た、宝があぁ！てね。,toritsu
@B83618519 カカオリキュールまでは販売…してない…ですよね(ﾟAﾟ;) https://t.co/MxoVnRSoKc,toritsu
@kogomir しれっと自分のキャベツに重ねて持っていったりしてますね(´ﾟзﾟ)～♪,toritsu
肉食ってこー。 https://t.co/vH3NVC4NtL,toritsu
昨日、素敵な運び屋さんのおかげで納戸を何度もみてしまう。ニヤリ。 https://t.co/iyrWNnJbzF,toritsu
@nekomoshakusimo 水菜、ここ数日安くて！,toritsu
チョコレートは心の栄養。 https://t.co/1bUeLrACeC,toritsu
@nekomoshakusimo はい。味のない乾物でやりました。ついていたらついていたでいいんじゃない!?,toritsu
"すごくわかる。
けどこれって無知と言うより
物事の差異が気になる人が否か。だと思ってる。

他の人の文章読んでても、ここはなんでひらいたんだろう？とか気に留めなければ知識にならないしね。

以下、と未満の違いも気にならない人が多い… https://t.co/9hQAhRiwHV",toritsu
"所得が一定ある人は、復興特別税に備えたほうが良いね。

増やせばいいのだよ増やせば。 https://t.co/Z4zVq8EmNo",toritsu
カッコいい? https://t.co/a583IHoeYM,toritsu
@yutas001 いやいや、適当に雑多なログ突っ込みまくろうかなーとｗ,toritsu
"とりあえず500GB別ストレージぶら下げて
DB毎に分離してsymlinkでしのいでみようかな",toritsu
"oh
InfluxDBってOSS版だとシャーディングできないのかー
レプリケーションはInfluxDB Relayってのを別で使えばできそうだけど、うーむ?
https://t.co/CUMinCH5aw

フレームワーク側でシャ… https://t.co/cy89nG4WPo",toritsu
@musasabifx 確かに、ライブラリにほぼ全てそろってそうよね。,toritsu
"結局アーロンチェアに低反発クッションひいて使ってるけど、給付金くるしバロンを追加購入する事にした。
アーロンは妻が使う事に。
かみさん、身長146しかないけどこのサイズで大丈夫か？w",toritsu
テレビの有無じゃなくてインターネット回線の有無で受信料取る気だ！？ https://t.co/xIojnIrm1o,toritsu
"公
太
郎 https://t.co/ZwmzAYCMgn",toritsu
"すごく良いけど、それでもまだ財力をしっかり溜め込んだ人々(生活費すら公費で賄えちゃうから資産が減るわけない)は、数年収入止まったところで困りはしない
給料じゃなくて諸々の費用も税務署並みの精査をしてほしい。 https://t.co/8iHxEqvaSK",toritsu
"本日のおもしろ実験教室は航空力学

ムスメ技師のアイデアにより、折りたたみ式のテーブルが設置されました https://t.co/AvjblBmxdF",toritsu
"＿人人人人人人人人人人人人人人人人人人人人＿
＞　感想はいらない！他に方法がなかった！　＜
￣Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y￣",toritsu
"温かな我が家が一変
ついに人食い屋敷イン・ダ・ハウス！

どういうことやｗｗｗｗ
イン・ダってなんやｗｗｗ",toritsu
"コルネオ近辺のヒャッハーなテンション

嫌いじゃないｗ",toritsu
"@torafuku_ レンチンプリンは簡単でした！
そしてちゃんと美味しかったですよー！
カラメル作るとこだけ跳ねるので子どもから離してやれば安全です！
https://t.co/lHgvIm6cBG",toritsu
リツイート数すごい！ https://t.co/4Ghw6yeHy0,toritsu
"今日の娘とのおもしろ実験教室はレンジプリン
取り出すの失敗して崩れたw https://t.co/Kov1i0FA1l",toritsu
"おしい！

10秒で止めるやつ！
結果は、『10.04秒』でした！
みんなも挑戦しよう https://t.co/gworbguSAX",toritsu
"@yutas001 最後の２ヶ月で諦めてブリッジでもしたのかな？ｗ
左上側切歯があきらかにサイズかわってるよねｗ",toritsu
RT @shimaru365: 新コロニャン「思い出したか？感染症の恐怖を。ミサイルでも俺らは滅ぼせないぜ。ワクチンも早くても2年かかるぜ。俺よりも強いブラザーズが来たらお前らヤバいぜえ。今回の騒動を教訓にして防火扉搭載型社会を作って封じ込めを学びな。全体のために一部の犠牲を出…,toritsu
@shimaru365 まさに!3年前くらいからずっと感じていて、今回のコロナで確信に変わりました。,toritsu
レベル高いわぁ https://t.co/gssxBbZUN3,toritsu
"RT @hinakosato: ということで皆さま、
リモートでバーチャルアシスタント(事務処理、通訳翻訳、日英どちらも可)、ピアノや日本語/英語の先生、アートシンキングなどのファシリテーター等クリエイティブな教育ワークショップをお探しの方、または身近で新しく人材探している会社…",toritsu
@shin01asa テントがぺしゃんこになりました。 https://t.co/YetKFJ3gp1,toritsu
"@shin01asa タイ4種盛りの「利きダイ」遊びのためにとりました?
意外とうまかった。。
タカノハダイはやっぱり美味しくないですね。。",toritsu
"テントの中にいないと飛んじゃう。

#エクストリーム自粛　#お魚わっしょい　#お魚とるどころじゃない　#うちで過ごそう https://t.co/HL06bssq6y",toritsu
"風強し!ほぼ修行!

#エクストリーム自粛　#うちで過ごそう　#無人島　#お魚わっしょい https://t.co/85A9tGsoXo",toritsu
"嵐に備えて家作りました。

#エクストリーム自粛　#うちで過ごそう　#お魚わっしょい　#extremequarantine https://t.co/8sS28QH5id",toritsu
火は癒やし https://t.co/Mm1OExsG9i,toritsu
#うちで過ごそう  #quarantine #extremequarantine,toritsu
"良い。

#エクストリーム自粛　#無人島　#みなさまもぜひ https://t.co/Co4XAtTEs8",toritsu
@shimaru365 @murong712 新しい理論ｗ　無人島に来なかったら気づかなかったです。,toritsu
"タイ4種盛りゲット??

食料のことを心配してましたが、今日だけで、

ヒラマサ2匹
イシダイ4匹
イシガキダイ1匹
他2匹
鶏1匹(あくまで相棒)

知識とスキルさえあればどうにでもなりそう?

#エクストリーム自粛　#無人島 https://t.co/mZyvZx5Wp3",toritsu
"何もない。あるのは岩と海だけ。

#無人島　#エクストリーム自粛 https://t.co/k1lyN7ZW4c",toritsu
@murong712 相棒兼非常食という位置づけ,toritsu
"エクストリーム自粛!九州のとある無人島で究極のセルフ隔離してきます。
自給自足でどこまで滞在できるか?行ってきます??

男3人で持ち物は以下

釣り竿
銛
水たくさん
ナタ
ノコギリ
スコップ
テント衣服
調理器具
充電器具
調… https://t.co/zBHhszYNIZ",toritsu
目黒区中根周辺で魚屋さんをお探しなら sakana bacca都立大学店 https://t.co/jskXdMzegI,toritsu
東京で駐車する際に便利だったサイト https://t.co/IwCo6ql4uV,toritsu
エアコン洗剤を植物性洗剤にリニューアルしました https://t.co/D7idv152tZ,toritsu
＃札幌 空間除菌 ｜パティスリーショコラトリーリベルテ https://t.co/77ceAQQSHr,toritsu
葛飾区青戸の歯科医院をお探しなら｜いくま歯科医院 https://t.co/z7NlFP5YrI,toritsu
下北沢で人気のヘアサロン・美容院・美容室をお探しならBEBE hair https://t.co/FPuleAe5Lt,toritsu
札幌でジムをお探しなら「Reebok公式CrossFit SSC Hiragishi」がおすすめ https://t.co/xW20dkkqAd,toritsu
札幌で本格的スイーツ・チョコ・焼き菓子を扱うお店をお探しならパティスリーショコラトリーリベルテ https://t.co/wpM2Gyd6tN,toritsu
南青山・表参道のヘアサロン・美容院・美容室をお探しならLegame https://t.co/TelwC3Tdjh,toritsu
東京・埼玉・所沢で最高の日本料理店をお探しなら｜みや https://t.co/yynYAHLfI1,toritsu
札幌でカレーが食べたくなったら【カレー専門店】円山教授。 https://t.co/tFywbE5btB,toritsu
ハウスダストアレルギーが原因で甲殻類が食べられなくなった話 https://t.co/4BQMdrN855,toritsu
"RT @ace_seisou: 妻が子供に遊ばせる為のリカちゃんの洋服づくりにハマりだした。

清掃会社風のユニフォームもつくれるか聞いたら、腰袋と工具をつけた現場女子のシチュエーションまでつくってくれた。

「リカです❤️」

こんな子が現場来たらお客様もスタッフもテンション…",toritsu
N95マスクとDS2マスクは同等 https://t.co/0X73aIjjtj,toritsu
マキタ充電式高圧洗浄機をエアコン洗浄に使っています https://t.co/B7DDlbqafL,toritsu
TOTO「自動掃除機能付き」お風呂のページを確認しました。 https://t.co/Z4rJEf0ITe,toritsu
かしこい家電の買い方は「事前に取扱説明書」をダウンロードして欠点を見つける https://t.co/eVjGFje3F7,toritsu
パナソニックフィルター自動掃除エアコンCS-400CXR2-W https://t.co/OKPSO4oUgO,toritsu
日立壁掛けエアコンクリーニングRAS-N22V https://t.co/lt6kg5wFhr,toritsu
ダイキン業務用エアコン【天吊自在型】 https://t.co/ggmFaqDhRT,toritsu
sakana bacca 都立大学 https://t.co/bQOoigaWGn,toritsu
今日はシチューが美味しかった,toritsu
明治大学の講義を受けたい,toritsu
今日はハンバーグオムライスが美味しかった,toritsu
今日は豚しゃぶが美味しかった,toritsu
今日は金華サバの塩焼きが美味しかった,toritsu
新型コロナの影響がここにも『月刊住職』4月号の攻めっぷりがすごい「パンデミックで分かる寺院の底力」 - Togetter https://t.co/WTl9WWrOfU via @togetter_jp,toritsu
今日は麻婆豆腐が美味しかった,toritsu
ワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニ?ワニワニワニワニワニワニワニワニワニワニワニワニワニワニ?ワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニワニ,toritsu
壱岐は現職、佐渡は新人、いずれも接戦　#今日の選挙,toritsu
今日はグリルチキンが美味しかった,toritsu
#今日の映画　サバイバルファミリー,toritsu
今日の地震,toritsu
3週間目になる自粛生活のせいか、自炊スキルが格段にあがっている。買い物も調理もどんどん時短になってきてて、家を出てから食卓を囲むまで1時間で4品対応可。人呼べるようになったら毎日ホームパーティ。,toritsu
今日はポトフが美味しかった,toritsu
"RT @OnePair3card: 【新しく入荷した本】
日本離島センター『日本の島ガイド SHIMADAS』

内澤旬子『漂うままに島に着き』朝日文庫 https://t.co/zU6sEpWz3C",toritsu
今日はポークカレーが美味しかった,toritsu
"今週もお疲れさまでした。 (@ 国会議事堂 in 千代田区, 東京都) https://t.co/HvFuUlvRBE https://t.co/JNxEl6KK9B",toritsu
今宵も1ページずつ読んでいる。修正箇所がさらに見つかる。,toritsu
今日は春野菜のペペロンチーノが美味しかった,toritsu
出した本を久しぶりに家に持って帰ってきたので、1ページずつ読んでいる。修正箇所があれよあれよと見つかっていく不思議よ。,toritsu
@KikiSakura 良いうんこ?したけど、元気無いです。,toritsu
"ちょっと散歩 (@ 等々力駅 in 世田谷区, 東京都) https://t.co/SOtnwoejbn",toritsu
@Kippei_chan さっき行ったけど?もしないで直ぐ帰りました。相変わらずご飯も食べずにふて寝してます。,toritsu
1717歩しか歩いていない。,toritsu
クロちゃんが丸一日ご飯食べない・・心配だ。来週月曜は血液検査で病院だから注意して診てもらおう。,toritsu
お昼は、味噌ラーメン　野菜マシマシ,toritsu
横殴りの雨,toritsu
"@KikiSakura 三浦半島雷落ちまくりみたいですね。
クロちゃんも耳が聞こえないので、堂々と寝てます。",toritsu
間違えた「金曜の夜」です・・今夜です。,toritsu
"土曜の夜は、家呑みしながら星空を愛でましょう。皆な準備は良いかな？
https://t.co/8yEz65yVtI",toritsu
"金田に行けないので、家で金田風「筍と和布の炊いたん」　
出汁がね〜　遠く及びません。
値段の高い順に　木の芽&gt;和布＞筍 https://t.co/YWCqwwCymq",toritsu
"医療従事者の方々への配慮で、停波時期が先送り(2020年7月31日→2021年1月31日）になりました。まだ１つ番号持ってますが無料で延命しました。
https://t.co/sRItpx2e5a",toritsu
"筍と生ワカメを買った帰りに休憩中 (@ ねこじゃらし公園 in 世田谷区, 東京都) https://t.co/k94JbFjnIC",toritsu
"TTmacmini: vm_stat |grep free
Pages free:                               96646.
TTmacmini: sudo purge
TTmacmini:vm_s… https://t.co/9Uia9QGOCk",toritsu
豚のスペアリブを買ってきて、水酒味醂醤油白出汁砂糖蜂蜜酢ケチャップウスターソースローリエ他で2時間程コトコト煮込んだ「和風スペアリブ」 https://t.co/X3O74PcJ85,toritsu
スペアリブを和風に煮てみた。付け合せはペンネとキュウリと茹で卵とカニカマをマヨネーズで混ぜ混ぜ。,toritsu
"今日も無停止無会話で二周する (@ 駒沢オリンピック公園 in 世田谷区, 東京都) https://t.co/XNHz3mHWo3",toritsu
@KikiSakura もう乾いてるので取り込みます,toritsu
お昼は　ゴーゴーカレー風味のカレー混ぜウドン ベーコン添えとキュウリのサラダ。,toritsu
"TOKYO FM Blue Oceanに小林麻美さん登場！

#小林麻美",toritsu
"新型コロナウイルス感染拡大に伴う緊急事態宣言を受け、
4月9日（木）～5月6日（水）は在宅勤務とさせていただきます。

弊社休業中のお部屋のご内見やお申込み、ご解約、ライフラインおよび設備の故障については、大変恐縮ですが添付URL… https://t.co/SfRSr2SStX",toritsu
"【ペット可物件】
花小金井駅のKフラットにてモデルルーム始めました！
広さがわかりやすいと思いますので、是非見ていただきたいです(^ ^)
https://t.co/u4WXZRuVDi https://t.co/VXNd46q4Lq",toritsu
西小山のcastellsで春を見つけました。https://t.co/gCAi4b9Ifm https://t.co/P4MjG5HGow,toritsu
"3月25日(水)の新型コロナウイルスの感染対策に関する東京都の発表を受け、誠に勝手ではございますが3月28日（土）・3月29日（日）は臨時休業とさせて頂きます。

弊社休業中のライフラインおよび設備の故障については、大変恐縮ですが… https://t.co/UOFXbARWP0",toritsu
"■3/26(木)～3/29(日)の内見受付について■
東京都知事による新型コロナウイルスについての会見を受けまして、本日より3/29(日)までご内見の受付を自粛させていただくこととなりました。なお、3/30（月）以降のご内見につき… https://t.co/XtV4E5qujC",toritsu
